Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV
2019-07-26,4225.0,4237.5,4200.0,4212.5,3819.420654296875,39358000,37.5,-12.5,4328.571428571428,4451.785714285715,4510.714285714285,107.45984853711806
2019-07-29,4200.0,4225.0,4150.0,4175.0,3785.419677734375,40294600,75.0,-25.0,4291.071428571428,4423.214285714285,4490.476190476191,108.90417369238168
2019-07-30,4150.0,4187.5,4112.5,4175.0,3785.419677734375,54556800,75.0,25.0,4251.785714285715,4394.642857142857,4466.071428571428,89.97354108425174
2019-07-31,4200.0,4250.0,4137.5,4237.5,3842.087890625,43706400,112.5,37.5,4225.0,4366.964285714285,4445.238095238095,47.87135538783218
2019-08-01,4225.0,4225.0,4125.0,4125.0,3740.08544921875,64720000,100.0,-100.0,4198.214285714285,4333.035714285715,4419.642857142857,42.95623464922843
2019-08-02,4087.5,4087.5,4012.5,4050.0,3672.083740234375,78779000,75.0,-37.5,4175.0,4294.642857142857,4389.285714285715,69.59705453538616
2019-08-05,4012.5,4025.0,3950.0,3962.5,3592.74853515625,61291400,75.0,-50.0,4133.928571428572,4253.571428571428,4358.928571428572,97.28456051340991
2019-08-06,3900.0,3975.0,3775.0,3912.5,3547.414306640625,69999200,200.0,12.5,4091.0714285714284,4209.821428571428,4331.547619047619,120.26755886059813
2019-08-07,3950.0,4000.0,3912.5,3937.5,3570.08154296875,56503000,87.5,-12.5,4057.1428571428573,4174.107142857143,4301.190476190476,126.0078417816844
2019-08-08,3950.0,4075.0,3937.5,4062.5,3683.417236328125,52673200,137.5,112.5,4041.0714285714284,4146.428571428572,4276.785714285715,115.17972498500295
2019-08-09,4075.0,4087.5,3962.5,3962.5,3592.74853515625,41206600,125.0,-112.5,4001.785714285714,4113.392857142857,4245.238095238095,77.87161289738435
2019-08-12,3975.0,4000.0,3900.0,3962.5,3592.74853515625,26290000,100.0,-12.5,3978.5714285714284,4088.3928571428573,4214.880952380952,56.23346317767056
2019-08-13,3937.5,3950.0,3912.5,3950.0,3581.4150390625,36218200,37.5,12.5,3964.285714285714,4069.6428571428573,4184.523809523809,47.00873778962284
2019-08-14,4000.0,4062.5,3975.0,4050.0,3672.083740234375,53094000,87.5,50.0,3976.785714285714,4055.3571428571427,4161.309523809524,57.02182121995189
2019-08-15,3950.0,4012.5,3925.0,4012.5,3638.0830078125,34110000,87.5,62.5,3991.0714285714284,4041.0714285714284,4136.9047619047615,50.370649995353595
2019-08-16,4012.5,4050.0,3950.0,3962.5,3592.74853515625,25707800,100.0,-50.0,3994.6428571428573,4025.8928571428573,4114.285714285715,46.69110754535118
2019-08-19,4000.0,4012.5,3912.5,3937.5,3570.08154296875,21047400,100.0,-62.5,3976.785714285714,4008.9285714285716,4089.8809523809523,39.809815731468504
2019-08-20,3962.5,3962.5,3862.5,3875.0,3513.413330078125,34351800,100.0,-87.5,3964.285714285714,3983.035714285714,4063.690476190476,55.63486402643717
2019-08-21,3850.0,3887.5,3787.5,3787.5,3434.07861328125,36213000,100.0,-62.5,3939.285714285714,3958.9285714285716,4038.690476190476,87.03105630696922
2019-08-22,3812.5,3862.5,3737.5,3800.0,3445.412109375,62568600,125.0,-12.5,3917.8571428571427,3941.0714285714284,4019.0476190476193,101.25698094688727
2019-08-23,3800.0,3825.0,3725.0,3812.5,3456.74560546875,35492200,100.0,12.5,3883.9285714285716,3930.3571428571427,3998.214285714286,88.59854615598664
2019-08-26,3737.5,3762.5,3687.5,3750.0,3400.07763671875,30273800,75.0,12.5,3846.4285714285716,3918.75,3976.190476190476,80.27111797498837
2019-08-27,3725.0,3812.5,3725.0,3787.5,3434.07861328125,46766400,87.5,62.5,3821.4285714285716,3908.035714285714,3957.7380952380954,63.620901028051904
2019-08-28,3800.0,3812.5,3762.5,3800.0,3445.412109375,29902600,50.0,0.0,3801.785714285714,3889.285714285714,3939.8809523809523,37.796447300950945
2019-08-29,3812.5,3812.5,3750.0,3762.5,3411.410888671875,42715800,62.5,-50.0,3785.714285714286,3875.0,3917.2619047619046,22.160131510745927
2019-08-30,3787.5,3850.0,3787.5,3850.0,3490.746337890625,36471000,62.5,62.5,3794.6428571428573,3866.964285714286,3904.1666666666665,32.95920999981132
2019-09-02,3837.5,3862.5,3812.5,3812.5,3456.74560546875,20164000,50.0,-25.0,3796.4285714285716,3857.1428571428573,3892.8571428571427,33.62963545675932
2019-09-03,3825.0,3837.5,3662.5,3725.0,3377.410400390625,34817800,175.0,-100.0,3783.9285714285716,3833.9285714285716,3881.5476190476193,41.90408549240158
2019-09-04,3750.0,3750.0,3662.5,3712.5,3366.076904296875,49092600,87.5,-37.5,3778.5714285714284,3812.5,3872.0238095238096,48.79500364744831
2019-09-05,3750.0,3787.5,3725.0,3762.5,3411.410888671875,31491600,62.5,12.5,3775.0,3798.214285714286,3863.690476190476,48.94725051864958
2019-09-06,3800.0,3825.0,3775.0,3800.0,3445.412109375,37695400,50.0,0.0,3775.0,3788.3928571428573,3851.190476190476,48.94725051864958
2019-09-09,3800.0,3812.5,3750.0,3775.0,3422.74462890625,25346600,62.5,-25.0,3776.785714285714,3781.25,3842.2619047619046,48.64228025672253
2019-09-10,3775.0,3887.5,3775.0,3875.0,3513.413330078125,39409600,112.5,100.0,3780.3571428571427,3787.5,3838.095238095238,55.36674263922616
2019-09-11,3875.0,4000.0,3875.0,4000.0,3626.74951171875,59184000,125.0,125.0,3807.1428571428573,3801.785714285714,3840.4761904761904,100.48246707997518
2019-09-12,4050.0,4062.5,3925.0,3937.5,3570.08154296875,48065600,137.5,-112.5,3837.5,3810.714285714286,3835.1190476190477,103.58169078881058
2019-09-13,3975.0,3987.5,3912.5,3925.0,3558.747802734375,17730000,75.0,-50.0,3867.8571428571427,3823.214285714286,3830.9523809523807,91.24633065030586
2019-09-16,3875.0,3900.0,3787.5,3837.5,3479.412841796875,35483200,112.5,-37.5,3878.5714285714284,3826.785714285714,3825.0,80.59488640284692
2019-09-17,3787.5,3887.5,3787.5,3875.0,3513.413330078125,28974800,100.0,87.5,3889.285714285714,3832.1428571428573,3822.0238095238096,73.03986191507694
2019-09-18,3900.0,3950.0,3887.5,3950.0,3581.4150390625,24518400,62.5,50.0,3914.285714285714,3845.535714285714,3825.595238095238,55.16479640048365
2019-09-19,3975.0,3975.0,3887.5,3887.5,3524.7470703125,25170600,87.5,-87.5,3916.0714285714284,3848.214285714286,3830.3571428571427,53.86822546072744
